Designator,Mid X,Mid Y,Rotation,Layer
SW1,273.7625,-181.347,90.0,top
SW2,287.7625,-181.347,90.0,top
SW3,350.935,-181.592,-90.0,top
SW4,280.7625,-181.347,90.0,top
SW5,273.6125,-173.917,90.0,top
U1,227.8603,-176.792,0.0,top
U10,101.4475,-136.2075,90.0,top
U11,201.0625,-111.012,0.0,top
U12,222.0625,-117.412,0.0,top
U13,302.0815,-100.068,90.0,top
U14,322.2575,-162.627,-90.0,top
U15,135.1063,-168.3862,0.0,top
U16,329.5375,-154.967,180.0,top
U17,292.674,-102.362998,-90.0,top
U18,193.2125,-137.6776,-90.0,top
U19,193.2125,-125.892,-90.0,top
U2,117.9528,-132.0563,0.0,top
U20,245.7625,-161.417,-90.0,top
U21,269.525,-136.462,180.0,top
U22,331.97,-134.98,90.0,top
U3,117.9528,-141.9691,0.0,top
U4,117.8535,-106.342,0.0,top
U5,117.9528,-119.1934,-90.0,top
U6,117.9028,-154.832,-90.0,top
U7,171.7625,-111.017,0.0,top
U8,129.7625,-111.017,0.0,top
U9,150.7625,-111.017,0.0,top
Y1,314.14,-160.167,180.0,top
